hostname,port1,wwn1,port2,wwn2
HAnode1,CL1-D,100000109b1c2ede,CL2-D,100000109b1c36b2
HAnode2,CL3-D,100000109b1c36ce,CL4-D,100000109b1c37d2
HAnode3,CL3-D,100000109b1c36c2,CL4-D,100000109b1c39ae
HAnode4,CL1-D,100000109bd186bd,CL2-D,100000109bd1867e
HAnode5,CL2-D,100000109bd185bd,CL3-D,100000109bd1857e
HAnode6,CL2-D,100000109bd184bd,CL3-D,100000109bd1847e
